Перечень элементов
 
BAT1	CR2032
 
SMD компоненты  - 0805 

C1	0.1
C2	10n
C3	0.1
C5	10n
C6	0.1
C7	10n
C8	0.1
C9	10n
C10	0.1
C11	10n
C12	0.1
C13	10n
C14	0.1
C15	10n
C16	0.1
C17	22.0
C18	22.0
C19	10.0
C20	10.0
C21	0.1
C22	10.0
C23	10.0
C24	12p
C25	12p
C26	12p
C27	12p
C28	0.1
C29	0.1
C30	10n
C31	0.1
C32	0.1
C32	10.0
C33	10.0
C34	0.1
C35	0.1

LED1	0805
LED2	0805
LED3	0805
LED4	0805
LED5	0805
LED6	0805
LED7	0805
LED8	0805
 
R	10K
R	10K
R	510 *
R	120
R	10K
R	10K
R	120
R1	10K
R2	2K
R3	10K
R4	10K
R5	0
R6	1k
R7	0.
R8	0
R10	0
R11	1k
R12	0
R13	0
R14	0
R15	2K
R16	2K
R17	0
R18	0
R19	0
R20	0

R21	1k
R22	1k
R23	1k
R24	1k
R25	1k
R26	1k



 
D1	bzv55c3V6
D2	BAT54C
 
 
DD1	K1921VG015 (K1921VG015)
DD2	24C256
DD3	AT45DB161E-SHD-T
DD4	ST485
DD5	24C256
DD6	MCP2551
DD7	MCP2551
 



 
S	PLS-40
S	PLS-40
S	PLS-40
 
VR1	1117-3.3
 
X1	USB-MINI
X2	IDC-10 (DIL14)
X4	IDC-10 (DIL14)
X4	IDC-20 (DIL14)
 
XT1	32768
XT2	16MHz
